id_venda,data_venda,tipo_vinho,produto,safra,preco_unitario,quantidade,desconto_aplicado,canal,regiao_cliente,tipo_cliente,forma_pagamento,valor_total,sucesso_venda
57,2024-07-26,Tinto,Malbec Premium,2018,95.69,9,0.0,Distribuidor,Sul,PF,Pix,861.21,1
58,2025-12-19,Tinto,Tannat Especial,2021,238.52,18,0.2,E-commerce,Nordeste,PJ,Debito,3434.69,1
59,2025-03-28,Tinto,Tannat Especial,2004,171.49,17,0.0,Loja Fisica,Sudeste,PJ,Debito,2915.33,1
60,2025-01-16,Espumante,Moscatel Doce,2016,286.47,2,0.25,Loja Fisica,Sul,PF,Credito,429.71,0
61,2025-10-09,Tinto,Tannat Especial,2020,110.81,20,0.1,Eventos,Sul,PJ,Pix,1994.58,1
62,2025-07-10,Branco,Riesling Doce,2017,125.83,11,0.0,Eventos,Norte,PF,Pix,1384.13,1
63,2025-02-20,Branco,Riesling Doce,2019,76.12,5,0.05,Eventos,Sudeste,PJ,Credito,361.57,0
64,2025-12-01,Espumante,Brut Tradicional,2016,311.11,11,0.15,Loja Fisica,Sudeste,PF,Credito,2908.88,0
65,2025-11-12,Branco,Sauvignon Blanc,2000,157.78,5,0.1,Loja Fisica,Sudeste,PF,Pix,710.01,1
66,2026-02-01,Tinto,Merlot Classico,2020,160.71,31,0.05,E-commerce,Sudeste,PJ,Credito,4732.91,1
67,2026-01-24,Tinto,Merlot Classico,2019,349.66,5,0.0,Loja Fisica,Sudeste,PF,Pix,1748.3,1
68,2025-05-04,Tinto,Cabernet Reserva,2021,214.17,6,0.0,Eventos,Sul,PF,Credito,1285.02,1
69,2024-06-20,Tinto,Malbec Premium,2010,338.99,5,0.15,Loja Fisica,Sudeste,PF,Credito,1440.71,1
70,2026-02-02,Tinto,Malbec Premium,2017,239.5,39,0.1,Loja Fisica,Sudeste,PJ,Debito,8406.45,1
71,2024-10-01,Tinto,Malbec Premium,2019,291.63,3,0.05,Loja Fisica,Nordeste,PF,Debito,831.15,1
72,2025-07-28,Espumante,Moscatel Doce,2013,121.59,9,0.1,Distribuidor,Centro-Oeste,PJ,Credito,984.88,0
73,2025-01-03,Tinto,Tannat Especial,2005,97.69,1,0.05,Loja Fisica,Centro-Oeste,PF,Credito,92.81,0
74,2024-02-13,Tinto,Cabernet Reserva,2004,161.56,5,0.0,Loja Fisica,Sudeste,PF,Pix,807.8,1
75,2024-04-05,Tinto,Malbec Premium,2007,196.46,1,0.15,Distribuidor,Sudeste,PF,Debito,166.99,0
76,2024-10-01,Tinto,Cabernet Reserva,2007,331.2,9,0.0,Loja Fisica,Sudeste,PF,Credito,2980.8,1
77,2024-05-08,Branco,Chardonnay Safra,2004,65.94,37,0.0,Loja Fisica,Sudeste,PJ,Credito,2439.78,1
78,2025-04-29,Tinto,Cabernet Reserva,2014,123.94,6,0.15,E-commerce,Nordeste,PF,Pix,632.09,0
79,2026-02-20,Tinto,Cabernet Reserva,2019,165.97,30,0.15,E-commerce,Sul,PJ,Credito,4232.24,1
80,2024-12-18,Tinto,Merlot Classico,2000,124.68,5,0.1,Loja Fisica,Sudeste,PF,Credito,561.06,0
81,2024-09-26,Branco,Riesling Doce,2016,92.86,8,0.05,Distribuidor,Sul,PF,Credito,705.74,0
82,2024-01-15,Tinto,Tannat Especial,2021,224.77,2,0.1,Eventos,Sul,PF,Pix,404.59,1
83,2025-05-20,Tinto,Malbec Premium,2014,142.45,4,0.2,Loja Fisica,Sul,PJ,Credito,455.84,1
84,2025-04-16,Branco,Chardonnay Safra,2018,246.85,3,0.05,Loja Fisica,Sul,PF,Debito,703.52,1
85,2025-11-08,Tinto,Cabernet Reserva,2009,264.3,8,0.0,E-commerce,Sudeste,PF,Pix,2114.4,0
86,2024-06-18,Tinto,Merlot Classico,2017,317.16,10,0.0,Distribuidor,Centro-Oeste,PF,Debito,3171.6,1
87,2025-09-14,Branco,Sauvignon Blanc,2020,211.64,8,0.0,Distribuidor,Sul,PF,Boleto,1693.12,1
88,2024-01-20,Branco,Sauvignon Blanc,2009,120.64,7,0.1,Eventos,Sudeste,PF,Pix,760.03,1
89,2025-05-27,Tinto,Cabernet Reserva,2009,115.4,4,0.0,Eventos,Sudeste,PF,Credito,461.6,0
90,2026-03-23,Tinto,Cabernet Reserva,2006,134.56,4,0.0,Loja Fisica,Sudeste,PF,Pix,538.24,1
91,2024-08-08,Tinto,Malbec Premium,2011,109.89,27,0.0,Loja Fisica,Sudeste,PJ,Pix,2967.03,1
92,2026-01-16,Branco,Chardonnay Safra,2001,86.18,24,0.0,Eventos,Norte,PJ,Boleto,2068.32,0
93,2025-12-20,Tinto,Tannat Especial,2003,310.02,5,0.05,E-commerce,Sul,PF,Credito,1472.59,0
94,2024-11-11,Tinto,Tannat Especial,2022,112.58,7,0.2,E-commerce,Nordeste,PF,Credito,630.45,1
95,2025-12-21,Tinto,Cabernet Reserva,2017,309.86,10,0.2,Loja Fisica,Sudeste,PF,Credito,2478.88,1
96,2024-07-30,Tinto,Merlot Classico,2018,219.77,3,0.05,Loja Fisica,Sudeste,PJ,Pix,626.34,1
97,2025-01-04,Tinto,Tannat Especial,2022,124.17,33,0.05,Loja Fisica,Sudeste,PJ,Debito,3892.73,1
98,2024-01-26,Tinto,Tannat Especial,2011,188.12,1,0.05,Loja Fisica,Centro-Oeste,PF,Debito,178.71,1
99,2025-11-27,Espumante,Brut Tradicional,2008,105.53,8,0.0,E-commerce,Sudeste,PF,Boleto,844.24,0
100,2025-09-30,Branco,Chardonnay Safra,2015,60.44,13,0.25,Distribuidor,Sudeste,PJ,Credito,589.29,1
101,2025-01-24,Tinto,Malbec Premium,2022,166.17,2,0.1,Loja Fisica,Sudeste,PF,Credito,299.11,1
102,2025-05-25,Branco,Sauvignon Blanc,2016,220.74,1,0.0,E-commerce,Centro-Oeste,PF,Credito,220.74,1
103,2025-09-29,Rose,Rose Brasileiro,2022,117.62,4,0.1,Eventos,Sul,PF,Credito,423.43,1
104,2025-09-04,Branco,Chardonnay Safra,2008,137.55,5,0.05,E-commerce,Centro-Oeste,PF,Debito,653.36,1
105,2025-07-22,Tinto,Malbec Premium,2004,290.1,9,0.2,E-commerce,Sul,PF,Credito,2088.72,1
106,2024-04-20,Branco,Chardonnay Safra,2021,98.48,11,0.05,Loja Fisica,Sudeste,PF,Pix,1029.12,1
107,2025-06-03,Espumante,Moscatel Doce,2009,302.48,6,0.0,Loja Fisica,Sul,PF,Boleto,1814.88,1
108,2025-06-03,Rose,Rose Brasileiro,2013,133.68,34,0.1,E-commerce,Centro-Oeste,PJ,Credito,4090.61,1
109,2026-02-15,Tinto,Malbec Premium,2018,285.9,39,0.05,Eventos,Nordeste,PJ,Pix,10592.59,1
110,2025-07-02,Tinto,Merlot Classico,2005,300.34,4,0.2,Loja Fisica,Sudeste,PF,Credito,961.09,1
111,2024-10-13,Tinto,Cabernet Reserva,2002,185.32,7,0.25,Distribuidor,Nordeste,PF,Pix,972.93,1
112,2024-12-25,Tinto,Cabernet Reserva,2003,293.5,37,0.0,E-commerce,Centro-Oeste,PJ,Credito,10859.5,0
113,2024-04-05,Branco,Sauvignon Blanc,2012,190.37,3,0.1,Distribuidor,Sudeste,PF,Debito,514.0,0
114,2025-03-15,Espumante,Brut Tradicional,2011,221.68,13,0.0,Loja Fisica,Sul,PJ,Credito,2881.84,1
115,2025-11-01,Tinto,Malbec Premium,2017,296.38,3,0.05,Distribuidor,Nordeste,PF,Credito,844.68,0
116,2026-01-18,Tinto,Merlot Classico,2001,80.14,6,0.05,Loja Fisica,Sudeste,PF,Credito,456.8,0
117,2025-07-09,Tinto,Malbec Premium,2019,225.51,3,0.15,Distribuidor,Sudeste,PF,Pix,575.05,1
118,2025-09-19,Tinto,Merlot Classico,2011,179.33,8,0.0,Loja Fisica,Nordeste,PF,Pix,1434.64,1
119,2024-04-11,Branco,Riesling Doce,2009,248.17,1,0.0,Loja Fisica,Sudeste,PF,Pix,248.17,0
120,2024-11-30,Tinto,Tannat Especial,2005,257.14,25,0.0,Distribuidor,Norte,PJ,Credito,6428.5,0
121,2025-04-13,Branco,Riesling Doce,2014,152.38,11,0.0,Distribuidor,Sul,PF,Credito,1676.18,1
122,2025-12-04,Branco,Chardonnay Safra,2007,167.18,2,0.1,E-commerce,Sudeste,PF,Debito,300.92,1
123,2024-06-29,Tinto,Cabernet Reserva,2011,208.54,2,0.2,Distribuidor,Sul,PF,Pix,333.66,1
124,2025-05-13,Tinto,Malbec Premium,2004,194.14,5,0.0,Loja Fisica,Sul,PF,Credito,970.7,1
125,2024-09-29,Rose,Rose Provence,2014,96.7,11,0.2,Loja Fisica,Sudeste,PF,Credito,850.96,0
126,2024-04-01,Tinto,Tannat Especial,2018,301.35,11,0.05,Loja Fisica,Sul,PF,Pix,3149.11,0
127,2024-12-07,Tinto,Cabernet Reserva,2004,344.23,11,0.05,Loja Fisica,Centro-Oeste,PF,Pix,3597.2,1
128,2024-11-20,Espumante,Moscatel Doce,2004,122.02,3,0.2,Loja Fisica,Sul,PF,Credito,292.85,1
129,2024-12-13,Tinto,Merlot Classico,2009,168.9,30,0.05,E-commerce,Sul,PJ,Boleto,4813.65,1
130,2025-07-14,Tinto,Malbec Premium,2002,124.84,6,0.1,E-commerce,Sudeste,PF,Credito,674.14,1
131,2025-04-23,Tinto,Tannat Especial,2014,260.62,9,0.0,Distribuidor,Sudeste,PJ,Boleto,2345.58,0
132,2026-02-25,Tinto,Cabernet Reserva,2013,87.16,11,0.1,E-commerce,Sudeste,PF,Pix,862.88,0
133,2025-01-31,Tinto,Cabernet Reserva,2008,232.57,11,0.0,Loja Fisica,Nordeste,PF,Pix,2558.27,1
134,2025-02-26,Branco,Chardonnay Safra,2004,172.91,34,0.2,E-commerce,Norte,PJ,Pix,4703.15,1
135,2025-11-21,Tinto,Malbec Premium,2010,179.9,36,0.05,E-commerce,Sul,PJ,Debito,6152.58,1
136,2025-12-13,Branco,Chardonnay Safra,2012,148.1,37,0.1,Loja Fisica,Sudeste,PJ,Credito,4931.73,1
137,2024-11-16,Branco,Chardonnay Safra,2005,86.53,11,0.0,E-commerce,Sudeste,PF,Debito,951.83,1
138,2026-03-17,Tinto,Merlot Classico,2015,315.28,24,0.1,E-commerce,Nordeste,PJ,Credito,6810.05,1
139,2024-01-31,Tinto,Malbec Premium,2016,161.48,10,0.2,E-commerce,Norte,PJ,Credito,1291.84,1
140,2025-12-13,Espumante,Moscatel Doce,2012,373.88,29,0.05,Loja Fisica,Sudeste,PJ,Credito,10300.39,1
141,2024-02-23,Tinto,Tannat Especial,2023,105.46,3,0.2,Eventos,Sudeste,PF,Credito,253.1,0
142,2026-04-10,Rose,Rose Provence,2013,140.65,4,0.2,Distribuidor,Centro-Oeste,PF,Pix,450.08,0
143,2025-02-14,Branco,Riesling Doce,2002,74.71,2,0.15,E-commerce,Sudeste,PF,Credito,127.01,1
144,2025-06-05,Espumante,Moscatel Doce,2005,249.88,10,0.2,Loja Fisica,Sudeste,PF,Boleto,1999.04,0
145,2024-02-11,Tinto,Merlot Classico,2021,225.05,5,0.1,Loja Fisica,Sudeste,PF,Debito,1012.73,1
146,2025-06-09,Rose,Rose Brasileiro,2005,126.92,6,0.2,Distribuidor,Centro-Oeste,PF,Credito,609.22,1
147,2025-04-04,Branco,Chardonnay Safra,2010,103.44,2,0.1,Loja Fisica,Sudeste,PF,Pix,186.19,1
148,2024-06-08,Espumante,Moscatel Doce,2010,398.39,11,0.05,Loja Fisica,Sudeste,PF,Debito,4163.18,1
149,2024-02-26,Tinto,Tannat Especial,2023,206.63,7,0.2,E-commerce,Sudeste,PF,Credito,1157.13,1
150,2025-11-30,Tinto,Tannat Especial,2020,250.39,3,0.0,E-commerce,Nordeste,PF,Debito,751.17,1
151,2026-03-28,Branco,Riesling Doce,2017,147.34,4,0.0,Loja Fisica,Sudeste,PJ,Debito,589.36,1
152,2024-06-17,Tinto,Malbec Premium,2002,338.13,23,0.0,E-commerce,Sul,PJ,Credito,7776.99,1
153,2025-03-26,Tinto,Malbec Premium,2008,209.17,9,0.0,Distribuidor,Nordeste,PF,Credito,1882.53,1
154,2024-04-18,Tinto,Malbec Premium,2018,281.96,3,0.15,E-commerce,Sul,PF,Debito,719.0,1
155,2024-07-23,Rose,Rose Provence,2005,167.73,8,0.0,Loja Fisica,Sudeste,PF,Credito,1341.84,1
156,2025-01-08,Tinto,Cabernet Reserva,2022,214.44,1,0.1,Loja Fisica,Sudeste,PF,Pix,193.0,0
157,2025-06-06,Espumante,Brut Tradicional,2001,94.9,31,0.05,Distribuidor,Centro-Oeste,PJ,Debito,2794.8,1
158,2025-04-28,Tinto,Malbec Premium,2019,308.92,3,0.25,E-commerce,Nordeste,PF,Credito,695.07,0
159,2024-09-24,Rose,Rose Provence,2008,142.41,5,0.0,E-commerce,Sudeste,PF,Boleto,712.05,1
160,2024-02-19,Tinto,Merlot Classico,2004,127.37,27,0.15,Eventos,Sudeste,PJ,Pix,2923.14,1
161,2024-04-29,Espumante,Moscatel Doce,2023,172.03,4,0.05,E-commerce,Nordeste,PF,Credito,653.71,1
162,2025-10-22,Tinto,Tannat Especial,2000,234.22,28,0.25,Distribuidor,Sudeste,PJ,Credito,4918.62,1
163,2025-03-17,Tinto,Tannat Especial,2008,130.99,2,0.0,Distribuidor,Sudeste,PF,Pix,261.98,1
164,2026-01-03,Tinto,Merlot Classico,2009,329.3,27,0.0,E-commerce,Sul,PJ,Credito,8891.1,1
165,2024-03-24,Branco,Riesling Doce,2006,211.25,3,0.2,E-commerce,Sudeste,PF,Debito,507.0,0
166,2024-08-21,Tinto,Merlot Classico,2005,308.6,37,0.0,Loja Fisica,Sudeste,PJ,Credito,11418.2,1
167,2025-06-28,Tinto,Tannat Especial,2020,141.47,12,0.0,Distribuidor,Sudeste,PJ,Pix,1697.64,1
168,2025-06-10,Tinto,Cabernet Reserva,2017,199.13,6,0.2,Distribuidor,Sudeste,PJ,Boleto,955.82,1
169,2025-11-29,Branco,Chardonnay Safra,2012,156.0,4,0.05,E-commerce,Sudeste,PF,Credito,592.8,1
170,2026-02-16,Branco,Riesling Doce,2004,211.09,9,0.25,Loja Fisica,Sul,PF,Debito,1424.86,0
171,2026-04-17,Espumante,Brut Tradicional,2002,217.84,3,0.2,Loja Fisica,Sul,PF,Boleto,522.82,1
172,2024-11-21,Branco,Sauvignon Blanc,2008,175.21,3,0.1,Eventos,Centro-Oeste,PF,Pix,473.07,0
173,2024-07-06,Tinto,Malbec Premium,2008,313.58,5,0.0,E-commerce,Sul,PF,Credito,1567.9,1
174,2024-02-13,Espumante,Moscatel Doce,2021,156.94,30,0.05,E-commerce,Sudeste,PJ,Pix,4472.79,1
175,2024-07-15,Tinto,Tannat Especial,2017,223.54,5,0.05,Loja Fisica,Centro-Oeste,PF,Debito,1061.82,1
176,2024-06-20,Branco,Chardonnay Safra,2003,244.75,2,0.2,Distribuidor,Nordeste,PF,Debito,391.6,0
177,2024-05-23,Tinto,Tannat Especial,2023,100.0,1,0.0,Loja Fisica,Sudeste,PF,Credito,100.0,0
178,2025-10-21,Branco,Chardonnay Safra,2017,145.0,11,0.0,E-commerce,Centro-Oeste,PF,Debito,1595.0,1
179,2025-11-08,Tinto,Malbec Premium,2007,265.23,8,0.2,Loja Fisica,Sudeste,PF,Pix,1697.47,1
180,2024-09-18,Branco,Chardonnay Safra,2013,115.07,39,0.05,Loja Fisica,Sul,PJ,Credito,4263.34,1
181,2025-06-14,Branco,Chardonnay Safra,2001,144.9,7,0.05,Loja Fisica,Sul,PF,Pix,963.59,1
182,2025-01-10,Tinto,Malbec Premium,2018,207.59,4,0.05,E-commerce,Sudeste,PJ,Debito,788.84,1
183,2025-02-22,Espumante,Moscatel Doce,2012,239.29,5,0.2,E-commerce,Sul,PF,Credito,957.16,1
184,2026-03-29,Tinto,Tannat Especial,2000,196.63,7,0.15,E-commerce,Sudeste,PF,Credito,1169.95,0
185,2025-04-30,Tinto,Cabernet Reserva,2007,253.22,3,0.05,Loja Fisica,Centro-Oeste,PF,Debito,721.68,0
186,2026-02-09,Tinto,Cabernet Reserva,2005,157.46,32,0.0,E-commerce,Nordeste,PJ,Boleto,5038.72,1
187,2026-04-25,Branco,Riesling Doce,2022,98.73,5,0.05,Eventos,Sul,PF,Pix,468.97,0
188,2025-01-09,Tinto,Tannat Especial,2006,166.63,38,0.05,Eventos,Norte,PJ,Pix,6015.34,1
189,2025-06-25,Tinto,Merlot Classico,2003,130.95,6,0.2,E-commerce,Sul,PF,Credito,628.56,1
190,2025-10-08,Tinto,Cabernet Reserva,2015,154.26,3,0.0,E-commerce,Sudeste,PF,Credito,462.78,1
191,2024-01-19,Branco,Riesling Doce,2010,73.64,8,0.15,Distribuidor,Sudeste,PF,Credito,500.75,0
192,2024-05-31,Tinto,Merlot Classico,2015,275.7,9,0.05,Eventos,Sul,PF,Credito,2357.23,0
193,2024-09-12,Tinto,Merlot Classico,2008,272.08,2,0.0,E-commerce,Sudeste,PF,Credito,544.16,1
194,2025-06-03,Branco,Chardonnay Safra,2011,174.65,10,0.0,Distribuidor,Nordeste,PF,Credito,1746.5,1
195,2025-01-22,Tinto,Merlot Classico,2004,330.98,19,0.0,E-commerce,Sudeste,PJ,Boleto,6288.62,0
196,2024-01-11,Espumante,Moscatel Doce,2013,114.23,10,0.15,Distribuidor,Norte,PJ,Boleto,970.95,1
197,2024-12-21,Branco,Sauvignon Blanc,2017,221.31,8,0.05,E-commerce,Sudeste,PF,Credito,1681.96,1
198,2026-04-05,Tinto,Tannat Especial,2011,334.49,9,0.1,E-commerce,Sudeste,PF,Credito,2709.37,1
199,2024-11-17,Rose,Rose Brasileiro,2006,160.08,2,0.25,Distribuidor,Sudeste,PF,Boleto,240.12,1
200,2025-07-27,Tinto,Merlot Classico,2006,170.46,2,0.15,Loja Fisica,Sudeste,PF,Pix,289.78,1
201,2025-01-14,Rose,Rose Provence,2011,88.41,8,0.0,Eventos,Sul,PF,Pix,707.28,0
202,2024-08-31,Tinto,Merlot Classico,2006,88.65,3,0.1,Loja Fisica,Sudeste,PF,Debito,239.36,1
203,2024-04-02,Branco,Riesling Doce,2019,131.79,9,0.05,Loja Fisica,Sudeste,PF,Credito,1126.8,1
204,2025-03-14,Tinto,Merlot Classico,2022,86.01,10,0.1,Loja Fisica,Sudeste,PF,Pix,774.09,0
205,2025-11-01,Tinto,Tannat Especial,2010,227.69,16,0.0,E-commerce,Centro-Oeste,PJ,Credito,3643.04,1
206,2024-01-14,Espumante,Brut Tradicional,2023,237.21,2,0.0,E-commerce,Nordeste,PF,Debito,474.42,1
207,2024-08-14,Espumante,Moscatel Doce,2012,391.05,9,0.0,E-commerce,Sudeste,PF,Boleto,3519.45,1
208,2025-01-16,Rose,Rose Provence,2023,94.24,11,0.0,Loja Fisica,Nordeste,PF,Debito,1036.64,1
209,2024-06-19,Tinto,Merlot Classico,2008,174.19,6,0.1,E-commerce,Sudeste,PF,Credito,940.63,1
210,2025-12-26,Tinto,Cabernet Reserva,2000,213.54,30,0.0,E-commerce,Sudeste,PJ,Credito,6406.2,1
211,2024-04-21,Branco,Sauvignon Blanc,2017,248.63,5,0.0,Distribuidor,Centro-Oeste,PF,Pix,1243.15,1
212,2025-03-29,Tinto,Tannat Especial,2006,90.68,7,0.0,Loja Fisica,Sul,PF,Boleto,634.76,1
213,2024-01-28,Tinto,Tannat Especial,2008,168.54,11,0.0,Loja Fisica,Sudeste,PF,Credito,1853.94,1
214,2025-10-05,Tinto,Malbec Premium,2007,288.96,11,0.15,Eventos,Centro-Oeste,PF,Debito,2701.78,0
215,2025-01-04,Rose,Rose Provence,2002,199.25,6,0.15,Distribuidor,Nordeste,PF,Boleto,1016.17,1
216,2024-01-30,Branco,Chardonnay Safra,2002,112.43,4,0.05,Distribuidor,Nordeste,PF,Pix,427.23,1
217,2024-08-13,Tinto,Malbec Premium,2021,195.01,34,0.0,Loja Fisica,Sudeste,PJ,Credito,6630.34,1
218,2024-08-07,Tinto,Malbec Premium,2009,302.46,7,0.0,E-commerce,Sudeste,PF,Debito,2117.22,0
219,2026-04-03,Branco,Sauvignon Blanc,2019,170.99,3,0.0,Distribuidor,Sudeste,PF,Credito,512.97,0
220,2025-04-24,Tinto,Malbec Premium,2001,218.31,1,0.0,E-commerce,Sudeste,PF,Pix,218.31,1
221,2026-03-08,Tinto,Malbec Premium,2017,199.52,4,0.0,Distribuidor,Sudeste,PF,Debito,798.08,1
222,2025-01-22,Espumante,Moscatel Doce,2002,378.19,36,0.2,Distribuidor,Sudeste,PJ,Credito,10891.87,1
223,2025-01-20,Tinto,Merlot Classico,2016,98.13,20,0.0,E-commerce,Sudeste,PJ,Credito,1962.6,1
